date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/24/2021,"Hang Power Clean","Every 1:30 x 5 Sets3 Reps (70%)SPEED! Reset at hips between reps.",195,"195","Load","","[{""success"":true,""load"":195}]","",RX,
09/24/2021,"Run/TTB/RC","3 RFT:400m Run30 TTB5 Rope Climbs",1060,"17:40","","","[{""secs"":40,""mins"":17}]","",RX,
09/25/2021,"HSPU/KBS/OHS","15:00 AMRAP 5 SHSPU10 KB Swings (70/55#)15 OHS (95/65)*Scale reps to 4/8/12 or 3/6/9 if you dont think you will finish round 1 before 1:30 on the clock.",5,"5","Rounds + Reps","","[{""rnds"":5}]","3-2 shspu the whole time.  Solid for me",RX,
09/25/2021,"Row Power Output","5 Sets:20sec Row for max effort Cal/hour400m Jog at recovery pace*you will row as hard as you possibly can for 20sec. Then take a quick second to write down your max number for that set. Go out for a 400m Jog. The goal is to run a pace that will allow you to be able to put a similar number up on the rower. Get on the rower as soon as you come in from your run **I have the scoring set as calories, but your score is the average max Cal/Hour between your 5 sets",3300,"3300","Calories","","[{""calories"":3300}]","31023227326933103569Wheelhouse workout ",RX,
09/25/2021,"Warmup","Easy 1 Mile Runthen, 3 Rounds8 Single Arm DB OHP/Arm (light)8 Single Arm KB Swings/Arm20sec Row (build each round to a 90% effort round 3)",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
09/25/2021,"Front Rack Hold","Accumulate 2:00 with 85% of 1RM Front Squat 3:00 Cap*break up your sets as needed*SAME WEIGHT AS WEDNESDAY",180,"3:00","","","[{""secs"":0,""mins"":3}]","265",RX,
09/27/2021,"Clean Shrug Pull","5 x 480-85-90-95-95% of 1RM Clean",260,"260","Load","","[{""success"":true,""load"":225},{""success"":true,""load"":235},{""success"":true,""load"":245},{""success"":true,""load"":260},{""success"":true,""load"":260}]","",RX,
09/27/2021,"Tempo Front Squat","4 x 6 65-75%*3 second negative, but WITHOUT the quarter. Again, only go up if you are perfect in your reps. This is really challenging on your front rack.",185,"185","Load","","[{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185},{""success"":true,""load"":185}]","",RX,
09/28/2021,"Clean Complex","5 Sets:2 Pause Cleans (1sec pause) + 1 Clean Rest 1:30-2:00 between setsSets 1-3: 72.5%Sets 4-5: 77.5%",190,"190","Load","","[{""success"":true,""load"":190},{""success"":true,""load"":190},{""success"":true,""load"":190},{""success"":true,""load"":190},{""success"":true,""load"":190}]","",RX,
09/28/2021,"Snatch Complex","5 Sets:2 Snatch Shrug Pulls + 2 Snatches (72.5-77.5%)Rest 2:00 Btw Sets*No TnG. Reset between sets.",145,"145","Load","","[{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145},{""success"":true,""load"":145}]","",RX,
09/28/2021,"Warmup","3 Rounds10 Single Arm KB Swings/arm6 Single Arm KB High Pulls/arm4 Skin the Cat on Rings1:00 Low Lunge with twist each side1:00 PVC Snatch Balance + OHS (focus on balanced feet)Progressions:2 Rounds with empty bar5 Slow Snatch DL + 5 Snatch High Pull (slow pull to hips) + 5 Muscle Snatch + 5 Snatch Balance",1,"Yes","Checkbox","","[{""boolean"":1}]","",RX,
